faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,EndText.started,mouse_8.started,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\LCHEEK_CFD_LM_203_026_N.png,,0,17,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_006_M_F_N_A.png,,0,18,18,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_BF_214_308_N.png,,0,19,19,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_LM_203_026_N.png,,0,20,20,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_BM_234_172_N.png,,0,21,21,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_AM_233_236_N.png,,0,22,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_AF_237_223_N.png,,0,23,23,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_AF_231_357_N.png,,0,24,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_BF_224_002_N.png,,0,25,25,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_LF_224_176_N.png,,0,26,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
